,e_steps,e_episodes,e_elapsed,e_mean,e_median,e_stdev,e_max,e_min,e_average_loss_1step,e_average_loss_nstep,e_average_loss_supervised,e_average_loss,e_n_updates
0,50000,25,6911.422474861145,1.0,0.0,1.7320508075688772,3.0,0.0,0.015089686950668691,0.03071024769451469,0.10233080903068184,0.14813074350357056,12500
1,100000,50,13782.133568286898,4.0,6.0,3.4641016151377544,6.0,0.0,0.01254170605679974,0.02239602015819401,0.03664792927775125,0.07158565564081072,25000
2,150000,75,20734.30978918076,3.0,4.0,1.7320508075688772,4.0,1.0,0.012625784932170064,0.02175114776939153,0.013850023153427172,0.04822695548646152,37500
3,200000,100,27645.617183208462,7.333333333333332,5.0,6.8068592855540455,15.0,2.0,0.010177141362801194,0.021186249535530804,0.0062399305261533295,0.037603321457281715,50000
4,251691,126,35215.20657849312,9.666666666666666,11.0,3.2145502536643185,12.0,6.0,0.010796786650316791,0.02576267517637461,0.008318047574333605,0.04487750921398402,62922
5,301691,151,42529.77168369293,19.0,18.0,4.58257569495584,24.0,15.0,0.011073253172216935,0.02203476192895323,0.005006571243368399,0.038114586574956776,75422
6,351691,176,50124.25774979592,11.666666666666664,14.0,4.0414518843273814,14.0,7.0,0.012657265176530928,0.02657761033624411,0.002824775463413971,0.042059650924056766,87922
0,351692,176,7225.056064367293,10.0,7.0,8.888194417315589,20.0,3.0,0.0210108992503956,0.034530954086221755,0.0034200118700539405,0.058961865212768326,87923
1,401692,201,14500.44992351532,27.66666666666667,24.0,12.897028081435401,42.0,17.0,0.01572273737285286,0.030491750966757537,0.0016255813140775644,0.047840069783851503,100423
2,453455,227,21956.122109413147,14.0,13.0,5.5677643628300215,20.0,9.0,0.012053619283251464,0.02377232098020613,0.0026369881805086946,0.03846292864531278,113363
3,503455,252,29290.038195133213,18.33333333333333,21.0,10.263202878893768,27.0,7.0,0.013863399780821056,0.032538574398495265,0.003166205236154837,0.04956817960366607,125863
4,551837,277,36649.76077055931,19.33333333333333,15.0,9.291573243177568,30.0,13.0,0.012502873486373571,0.029316392722539605,0.0011058767605982213,0.042925142953172325,137959
5,601837,302,44237.19541716576,36.66666666666666,31.0,18.175074506954115,57.0,22.0,0.013723618027288468,0.029762434498406945,0.003547229820716211,0.04703328218311072,150459
6,651737,327,51839.1962518692,23.33333333333333,19.0,11.150485789118488,36.0,15.0,0.015545535364653916,0.03205856858287007,0.002850871233531507,0.050454975366592415,162934
0,651838,327,7092.25016283989,30.33333333333333,30.0,0.5773502691896257,31.0,30.0,0.019046944193542,0.03394256556872278,0.0019674849542639095,0.054956994615495205,162960
