steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
16000	8	1459.608121395111	1.0	1.0	1.0	2.0	0.0	0.008476263	0.0837985891092103	16000	2748	16000
30183	16	2930.458098888397	0.3333333333333333	0.0	0.5773502691896258	1.0	0.0	0.082014576	0.04450119377870578	30183	6293	30183
45474	24	4409.798634290695	0.3333333333333333	0.0	0.5773502691896258	1.0	0.0	0.04287003	0.013693362777412404	45474	10116	45474
61474	32	5938.333267688751	0.0	0.0	0.0	0.0	0.0	0.020223651	0.0027941760630528735	61474	14116	61474
75474	39	7350.358548879623	3.3333333333333335	4.0	2.081665999466133	5.0	1.0	0.032380283	0.00400895513008436	75474	17616	75474
91474	47	8958.770689249039	4.0	4.0	1.0	5.0	3.0	0.06255078	0.004709642216184875	91474	21616	91474
105474	54	10389.598932266235	5.666666666666667	6.0	2.516611478423583	8.0	3.0	0.11115677	0.007078855276777176	105474	25116	105474
121474	62	12006.954855680466	9.333333333333334	7.0	9.71253485622231	20.0	1.0	0.15106905	0.009809569029603154	121474	29116	121474
135474	69	13502.889971256256	9.0	6.0	7.0	17.0	4.0	0.20769769	0.01149211565090809	135474	32616	135474
151474	77	15138.204999685287	7.666666666666667	5.0	5.507570547286102	14.0	4.0	0.2552022	0.015841332201380284	151474	36616	151474
165474	84	16690.232219934464	10.666666666666666	10.0	8.020806277010644	19.0	3.0	0.29180902	0.016960124660981818	165474	40116	165474
181474	92	18428.090834140778	8.0	10.0	4.358898943540674	11.0	3.0	0.33346388	0.016981381542282178	181474	44116	181474
195474	99	19866.2110581398	17.333333333333332	18.0	10.016652800877813	27.0	7.0	0.38223484	0.01935509770992212	195474	47616	195474
211722	108	21531.571556806564	19.0	17.0	3.4641016151377544	23.0	17.0	0.42295906	0.024174528596922755	211722	51678	211722
225722	115	23052.15029668808	22.333333333333332	20.0	4.041451884327381	27.0	20.0	0.48074353	0.0234791195159778	225722	55178	225722
241722	123	24644.149755954742	10.333333333333334	12.0	4.725815626252608	14.0	5.0	0.5112021	0.023584565659984947	241722	59178	241722
255722	130	26157.217861652374	14.0	15.0	4.58257569495584	18.0	9.0	0.5649947	0.02982983718626201	255722	62678	255722
270851	138	27759.21102166176	20.333333333333332	21.0	5.033222956847166	25.0	15.0	0.6034831	0.023285139370709657	270851	66460	270851
285434	146	29339.273710012436	24.0	24.0	8.0	32.0	16.0	0.5978446	0.02934336773119867	285434	70106	285434
301434	154	30972.30560207367	16.333333333333332	16.0	4.509249752822894	21.0	12.0	0.69792664	0.03296049639582634	301434	74106	300000
315434	161	32431.551151752472	27.666666666666668	28.0	15.50268793897798	43.0	12.0	0.7298844	0.031040176460519434	315434	77606	300000
331434	169	34077.11162185669	20.666666666666668	20.0	4.041451884327381	25.0	17.0	0.7948597	0.03866257623769343	331434	81606	300000
346440	177	35678.27617430687	18.0	18.0	1.0	19.0	17.0	0.84210217	0.03899562959559262	346440	85358	300000
360440	184	37146.86819648743	12.0	16.0	7.810249675906654	17.0	3.0	0.9361198	0.04065783610567451	360440	88858	300000
376440	192	38709.2611079216	14.0	15.0	5.5677643628300215	19.0	8.0	0.9795503	0.03996433765627444	376440	92858	300000
391505	200	40245.85067176819	26.0	28.0	7.211102550927978	32.0	18.0	1.0958831	0.04311485853046179	391505	96624	300000
405505	207	41760.60741472244	20.333333333333332	16.0	12.096831541082702	34.0	11.0	1.1148711	0.037310847751796244	405505	100124	300000
421505	215	43379.723915576935	21.333333333333332	22.0	7.023769168568492	28.0	14.0	1.1827327	0.04435858726501465	421505	104124	300000
