steps	episodes	elapsed	mean	median	stdev	max	min	average_loss_1step	average_loss_nstep	average_loss_supervised	average_loss	n_updates
50000	25	7092.2501628398895	30.333333333333332	30.0	0.5773502691896257	31.0	30.0	0.019046944193542005	0.033942565568722785	0.0019674849542639095	0.054956994615495205	12500
100000	50	14621.762734889984	33.666666666666664	34.0	0.5773502691896257	34.0	33.0	0.018304629786871373	0.034156459104269746	0.0011643677042047784	0.05362545659765601	25000
150205	76	22274.032512664795	30.666666666666668	32.0	5.131601439446884	35.0	25.0	0.015012414148077368	0.033066213317215445	0.0011137178990043139	0.04919234558939934	37551
200548	102	29912.007813692093	46.333333333333336	44.0	4.041451884327381	51.0	44.0	0.015649818610399963	0.04087789562530816	0.0017461486106267144	0.058273862767964604	50137
250548	127	37684.57110452652	27.666666666666668	26.0	8.621678104251709	37.0	20.0	0.018930306881666182	0.04196468577720225	0.0028180692533533148	0.0637130619585514	62637
301710	153	45622.68844938278	35.666666666666664	33.0	17.15614564327703	54.0	20.0	0.017824499828275293	0.04276771471835673	0.0022336318264319743	0.06282584682106972	75427
351700	178	53513.400950431824	36.0	37.0	2.6457513110645907	38.0	33.0	0.014560648093465715	0.03380064152181148	0.0017333239059280458	0.05009461365640164	87925
400701	203	61288.76866912842	52.333333333333336	53.0	9.018499505645789	61.0	43.0	0.012621190818026661	0.03408135035075247	0.0009634467665443224	0.04766598762944341	100175
450325	228	69302.62944626808	49.666666666666664	51.0	8.082903768654761	57.0	41.0	0.015811376499477774	0.04024222644977272	0.0018233779166070007	0.05787698082625866	112581
501550	254	77502.94751405716	49.0	50.0	15.524174696260024	64.0	33.0	0.017945273022633046	0.04010817379225046	0.0014379427890617081	0.05949138961732388	125387
550823	279	85416.72389650345	52.333333333333336	61.0	17.67295485574875	64.0	32.0	0.01565656137885526	0.039759107688441875	0.0011241896539628726	0.05653985895216465	137705
