steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
16000	8	1520.5716705322266	1.3333333333333333	1.0	0.5773502691896257	2.0	1.0	-0.08626096	0.06556814988027326	16000	2748	16000
30000	15	2883.096316576004	0.3333333333333333	0.0	0.5773502691896258	1.0	0.0	-0.019480195	0.01593846181232948	30000	6248	30000
46000	23	4456.458521604538	1.6666666666666667	2.0	0.5773502691896257	2.0	1.0	-0.0011958105	0.00339773783360215	46000	10248	46000
61789	31	5992.655212402344	5.0	3.0	4.358898943540674	10.0	2.0	0.05433791	0.00651556601660559	61789	14195	61789
75789	38	7401.858108758926	9.333333333333334	10.0	4.041451884327381	13.0	5.0	0.08872951	0.007057335153222084	75789	17695	75789
91789	46	8952.780360221863	7.0	8.0	4.58257569495584	11.0	2.0	0.20557773	0.015508500253781676	91789	21695	91789
105789	53	10402.828377008438	13.0	13.0	1.0	14.0	12.0	0.286617	0.017268445119261743	105789	25195	105789
121789	61	11969.038587331772	11.666666666666666	9.0	9.291573243177568	22.0	4.0	0.3809399	0.015898922928608953	121789	29195	121789
135789	68	13392.288955926895	5.0	5.0	3.0	8.0	2.0	0.34210953	0.013372013939078897	135789	32695	135789
151789	76	14989.229710817337	4.666666666666667	5.0	1.5275252316519465	6.0	3.0	0.38479167	0.017204819559119643	151789	36695	151789
165789	83	16448.504869699478	14.0	15.0	2.6457513110645907	16.0	11.0	0.42843992	0.018460121594835073	165789	40195	165789
181789	91	18067.94151687622	7.666666666666667	8.0	1.5275252316519465	9.0	6.0	0.4926675	0.016089026425033806	181789	44195	181789
195789	98	19537.121740102768	11.333333333333334	9.0	10.692676621563626	23.0	2.0	0.4861767	0.020202522459439935	195789	47695	195789
211789	106	21177.24985408783	9.666666666666666	11.0	5.131601439446884	14.0	4.0	0.5297561	0.020499637750908732	211789	51695	211789
225789	113	22680.273104667664	15.0	19.0	8.717797887081348	21.0	5.0	0.5394482	0.01969426726922393	225789	55195	225789
241789	121	24304.729682922363	11.666666666666666	16.0	7.505553499465135	16.0	3.0	0.49581745	0.018797560445964336	241789	59195	241789
255789	128	25806.85605740547	24.666666666666668	23.0	3.7859388972001824	29.0	22.0	0.56063926	0.01914724410045892	255789	62695	255789
271789	136	27452.56848359108	10.666666666666666	10.0	2.0816659994661326	13.0	9.0	0.63983727	0.023264698311686517	271789	66695	271789
285789	143	28897.926623106003	8.666666666666666	7.0	6.658328118479393	16.0	3.0	0.64035463	0.023460608776658773	285789	70195	285789
301789	151	30559.55779671669	15.666666666666666	17.0	5.131601439446884	20.0	10.0	0.74682176	0.028406687658280135	301789	74195	300000
315789	158	32063.75239753723	24.0	23.0	10.535653752852738	35.0	14.0	0.7174551	0.023849721541628243	315789	77695	300000
331789	166	33769.031413555145	20.333333333333332	20.0	0.5773502691896257	21.0	20.0	0.8128126	0.02813747354783118	331789	81695	300000
345789	173	35290.39984917641	15.333333333333334	14.0	3.214550253664318	19.0	13.0	0.90660775	0.03277135157957673	345789	85195	300000
361789	181	36943.16144657135	26.0	27.0	4.58257569495584	30.0	21.0	0.8745235	0.029810680048540233	361789	89195	300000
375789	188	38537.047858953476	22.333333333333332	26.0	8.144527815247077	28.0	13.0	0.9952467	0.034056755034253004	375789	92695	300000
390995	196	40326.36654138565	17.333333333333332	19.0	4.725815626252608	21.0	12.0	1.0328599	0.0360652897041291	390995	96496	300000
406995	204	42178.85190701485	31.333333333333332	32.0	1.1547005383792515	32.0	30.0	1.0565648	0.04011284690350294	406995	100496	300000
420995	211	43892.89784216881	7.333333333333333	6.0	7.094598884597588	15.0	1.0	1.1676289	0.041029198057949544	420995	103996	300000
436995	219	45787.50072193146	32.0	30.0	6.244997998398398	39.0	27.0	1.2427536	0.04179142952896655	436995	107996	300000
